சின்ன சின்ன ஜீவ வண்டி,1
கள்ள சாத்தான் குள்ள நரியாம்,2
என் ஆத்தமாவே கர்த்தரை ஸ்தோத்திரி,3
கோழி தன் குஞ்சுகளை,4
இயேசுவுக்கு துதி சாத்தானுக்கு மிதி (2),5
குட்டி நானய்யா கழுதை குட்டி நானய்யா,6
இயேசு கிறிஸ்து மாறாதவரே,7
ஓ! தேவனுக்கு மகிமை!,8
இயேசுவின் பின்னே நானும் போகிறேன்,9
இயேசு வந்த வீட்டிலே சந்தோஷமே 3,10
கானாவூரில் கல்யாண வீட்டில்,11
நான் ஆடிப்பாடி மகிழ்வேன் (3),12
சிங்கக் குட்டிகள் பட்டினி கிடக்கும்,13
ஓர் வெண்ணங்கி ஓர் பொன்முடி,14
1  இயேசு கற்பித்தார் ஒளி வீசவே,15
காலாட் படையில் நான் நிற்க மாட்டேன்,16
இரண்டு சிறு கண்கள் தேவனைப் பார்க்க,17
என் கண்ணே நீ காண்பது என்ன என்ன (2),18
யார் அந்த இயேசு நான் பார்க்க போறேனே!,19
பத்திமேயூ என்ற ஒரு குருடன் இருந்தானாம்,20
கூடாதது ஒன்றுமில்லையே (2),21
விலங்கு போட்ட கையிலே,22
பெலன் கொடுப்பவரால்  (3),23
வல்லமை உண்டு உண்டு,24
காலம் உமது கரத்தில்,25
தாவீதோட அடப்பையிலே,26
நைல் நதியிலே ஒரு நாணல் பெட்டியாம்,27
படகு ஒன்று பயணம் போகுது,28
பத்து கட்டளை பத்து கட்டளை,29
இயேசுவுக்காக  ஜிவிப்பேன் நான்,30
கா கா கரையுது பார்,31
வேதம் எனக்கு ஆகாராமம்,32
அவர் அற்புதமானவரே (2),33
கடுகளவு விசுவாசம் இருந்தால் போதும்,34
வேதத்திலே வேதத்திலே,35
மரத்தின் மீது பறவைகள் கூவுகின்றன,36
சகேயு ஆயக்காரன் மிகக் குள்ளமானவன்,37
இனி ஜீவிப்பது நான் அல்ல,38
ஜெய கிறிஸ்து முன் செல்கிறார்,39
மகிமை யாவும் அவருக்கே,40
எல்லாம் என் இயேசுவே எல்லாம் அவரே,41
கண்களின் மேல் கவனம் வை,42
நான் இயேசுவை நேசிக்கிறேன்,43
நான் ஏசப்பாவின் பிள்ளை பயமே எனக்கு இல்ல,44
என் உள்ளம் தேவன் பால் பொங்கி வழியுதே,45
இயேசு நல்லவர் (4) நல்லவர் எனக்கு,46
சித்தெறும்பு வருது சின்ன பண்டம் கவ்வுது,47
ஷாத்ராக், மேஷாக், ஆபேத் நெகோ,48
இயேசுவின் பின்னே போகத் துணிந்தேன் (3),49
Walking with Jesus, walking every day,,50
இயேசு என்னை கைவிடமாட்டார் (2),51
1     Jesus loves me, this I know,,52
1    Give me oil in my lamp, keep me burning,,53
Father Abraham had many sons,54
1    Every move I make I make in You,55
Hallelu, hallelu, hallelu,56
Go, tell it on the mountain,57
இயேசு என்னும் நாமத்தில் (2),58
என் இயேசுவால் ஆகாததொன்றுண்டோ (2) –,59
நீங்கிற்றே நீங்கிற்றே நீங்கிற்றே,60
அற்புதர் அற்புதர் இயேசு எனக்கு,61
ஜீவிக்கிறார் இயேசு ஜீவிக்கிறார்,62
கற்பாறையின் மேல் கட்டினவன்,63
I am happy today (2),64
Life is Wonderful Oh, so wonderful,65
இயேசு என்னை முற்றிலும் மீட்டார்,66
ஜீவனுள்ள தேவனின் ஆவியே வாரும் (2),67
குயவனே குயவனே,68
பேசும் பேசும் பேசும்,69
தாத்தா நோவா தாத்தா,70
நான் கலங்கிடும் நாளில் (2),71
சாமுவேல் தாத்தா வாங்க,72
நேற்றும் இன்றும் என்றும்,73
I am in and out and upon down and happy all the time (2),74
ஆடுகளே மே....ஆடுகளே மே....,75
கேரி ஆற்றங்கரையில்,76
அண்ணன்மாரை படையில் காண சென்றான் தாவீது,77
வல்லவர் வல்லவர் கர்த்தர் மகா வல்லவர்,78
சின்ன சாமுவேல் ஒரு ஜெபம் செய்தானே,79
He's able (2) I know He's able,80
எண்ணெய் பூசி காயங்கள் ஆற்றியே,81
(கற்பாறையின் மேல் கட்டினவன்),82
It’s a great thing to praise the Lord (3),83
The B-I-B-L-E,,84
இயேசுவை நம்பு சோராதே,85
Jesus loves the little children,86
Read your Bible.,87
If you're happy and you know it, clap your hands (2),88
God's Love is so wonderful,89
இயேசுவே ஆண்டவர்,90